Customer ID,Churn Category,Churn Reason
0002-ORFBO,,
0003-MKNFE,,
0004-TLHLJ,Competitor,Competitor had better devices
0011-IGKFF,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,Dissatisfaction,Network reliability
0013-MHZWF,,
0013-SMEOE,,
0014-BMAQU,,
0015-UOCOJ,,
0016-QLJIS,,
0017-DINOC,,
0017-IUDMW,,
0018-NYROU,,
0019-EFAEP,,
0019-GFNTW,,
0020-INWCK,,
0020-JDNXP,,
0021-IKXGC,,
0022-TCJCI,Dissatisfaction,Limited range of services
0023-HGHWL,Competitor,Competitor made better offer
0023-UYUPN,,
0023-XUOPT,Other,Don't know
0027-KWYKW,,
0030-FNXPP,,
0031-PVLZI,Price,Long distance charges
0032-PGELS,Attitude,Attitude of service provider
0036-IHMOT,,
0040-HALCW,,
0042-JVWOJ,,
0042-RLHYP,,
0048-LUMLS,,
0048-PIHNL,,
0052-DCKON,,
0052-YNYOT,,
0056-EPFBG,,
0057-QBUQH,,
0058-EVZWM,,
0060-FUALY,,
0064-SUDOG,,
0064-YIJGF,,
0067-DKWBL,Competitor,Competitor made better offer
0068-FIGTF,,
0071-NDAFP,,
0074-HDKDG,,
0076-LVEPS,,
0078-XZMHT,,
0080-EMYVY,,
0080-OROZO,,
0082-LDZUE,,
0082-OQIQY,,
0083-PIVIK,,
0089-IIQKO,,
0093-EXYQL,,
0093-XWZFY,Competitor,Competitor had better devices
0094-OIFMO,Dissatisfaction,Product dissatisfaction
0096-BXERS,,
0096-FCPUF,,
0098-BOWSO,,
0100-DUVFC,,
0103-CSITQ,,
0104-PPXDV,,
0106-GHRQR,,
0106-UGRDO,,
0107-WESLM,Attitude,Attitude of support person
0107-YHINA,Competitor,Competitor had better devices
0111-KLBQG,,
0112-QAWRZ,,
0112-QWPNC,Competitor,Competitor offered higher download speeds
0114-IGABW,,
0114-PEGZZ,,
0114-RSRRW,,
0115-TFERT,Attitude,Attitude of service provider
0117-LFRMW,Competitor,Competitor offered more data
0118-JPNOY,,
0121-SNYRK,,
0122-OAHPZ,Competitor,Competitor made better offer
0123-CRBRT,,
0125-LZQXK,Attitude,Attitude of service provider
0128-MKWSG,,
0129-KPTWJ,,
0129-QMPDR,,
0130-SXOUN,,
0133-BMFZO,Competitor,Competitor offered higher download speeds
0134-XWXCE,,
0135-NMXAP,Attitude,Attitude of support person
0136-IFMYD,,
0137-OCGAB,Price,Lack of affordable download/upload speed
0137-UDEUO,Price,Long distance charges
0139-IVFJG,,
0141-YEAYS,,
0142-GVYSN,,
0147-ESWWR,,
0148-DCDOS,Competitor,Competitor had better devices
0151-ONTOV,Competitor,Competitor had better devices
0156-FVPTA,Attitude,Attitude of service provider
0164-APGRB,,
0164-XAIRP,,
0168-XZKBB,,
0174-QRVVY,,
0177-PXBAT,,
0178-CIIKR,,
0178-SZBHO,,
0181-RITDD,,
0186-CAERR,,
0187-QSXOE,,
0187-WZNAB,,
0188-GWFLE,,
0191-EQUUH,,
0191-ZHSKZ,,
0193-ESZXP,Attitude,Attitude of support person
0195-IESCP,Competitor,Competitor offered more data
0196-JTUQI,,
0196-VULGZ,Other,Deceased
0197-PNKNK,,
0201-MIBOL,,
0201-OAMXR,Dissatisfaction,Network reliability
0203-HHYIJ,Price,Long distance charges
0206-OYVOC,,
0206-TBWLC,,
0207-MDKNV,Competitor,Competitor made better offer
0208-BPQEJ,,
0212-ISBBF,,
0214-JHPFW,,
0215-BQKGS,,
0218-QNVAS,,
0219-QAERP,,
0219-YTZUE,Competitor,Competitor made better offer
0220-EBGCE,Competitor,Competitor made better offer
0221-NAUXK,,
0221-WMXNQ,,
0222-CNVPT,,
0224-HJAPT,Competitor,Competitor made better offer
0224-NIJLP,,
0224-RLWWD,,
0225-ZORZP,,
0228-MAUWC,,
0229-LFJAF,,
0230-UBYPQ,,
0230-WEQUW,,
0231-LXVAP,Competitor,Competitor made better offer
0233-FTHAV,,
0234-TEVTT,,
0235-KGSLC,Other,Moved
0236-HFWSV,Competitor,Competitor had better devices
0237-YFUTL,,
0238-WHBIQ,,
0239-OXEXL,,
0244-LGNFY,,
0247-SLUJI,,
0248-IPDFW,,
0248-PGHBZ,,
0253-ZTEOB,,
0254-FNMCI,,
0254-KCJGT,,
0254-WWRKD,,
0256-LTHVJ,Competitor,Competitor had better devices
0257-KXZGU,,
0257-ZESQC,Attitude,Attitude of support person
0258-NOKBL,,
0259-GBZSH,Competitor,Competitor made better offer
0260-ZDLGK,Competitor,Competitor made better offer
0263-FJTQO,,
0264-CNITK,,
0265-EDXBD,Attitude,Attitude of support person
0265-PSUAE,,
0266-CLZKZ,,
0266-GMEAO,,
0268-QKIWO,Attitude,Attitude of support person
0269-XFESX,,
0270-THENM,,
0274-JKUJR,,
0277-BKSQP,,
0277-ORXQS,,
0278-YXOOG,Attitude,Attitude of support person
0280-XJGEX,Competitor,Competitor had better devices
0281-CNTZX,,
0282-NVSJS,,
0285-INHLN,,
0289-IVARM,,
0292-WEGCH,,
0295-PPHDO,Competitor,Competitor had better devices
0295-QVKPB,,
0297-RBCSG,,
0298-XACET,,
0301-FIDRB,,
0301-KOBTQ,,
0302-JOIVN,Competitor,Competitor made better offer
0303-UNCIP,,
0303-WMMRN,,
0305-SQECB,,
0306-JAELE,Competitor,Competitor made better offer
0307-BCOPK,,
0308-GIQJT,,
0308-IVGOK,,
