Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Customer Status
0002-ORFBO,Female,37,Yes,0,Frazier Park,93225,34.827662,-118.999073,Stayed
0003-MKNFE,Male,46,No,0,Glendale,91206,34.162515,-118.203869,Stayed
0004-TLHLJ,Male,50,No,0,Costa Mesa,92627,33.645672,-117.922613,Churned
0011-IGKFF,Male,78,Yes,0,Martinez,94553,38.014457,-122.115432,Churned
0013-EXCHZ,Female,75,Yes,0,Camarillo,93010,34.227846,-119.079903,Churned
0013-MHZWF,Female,23,No,3,Midpines,95345,37.581496,-119.972762,Stayed
0013-SMEOE,Female,67,Yes,0,Lompoc,93437,34.757477,-120.550507,Stayed
0014-BMAQU,Male,52,Yes,0,Napa,94558,38.489789,-122.27011,Stayed
0015-UOCOJ,Female,68,No,0,Simi Valley,93063,34.296813,-118.685703,Stayed
0016-QLJIS,Female,43,Yes,1,Sheridan,95681,38.984756,-121.345074,Stayed
0017-DINOC,Male,47,No,0,Rancho Santa Fe,92091,32.99356,-117.207121,Stayed
0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086,37.378541,-122.020456,Stayed
0018-NYROU,Female,58,Yes,0,Antelope,95843,38.715498,-121.363411,Stayed
0019-EFAEP,Female,32,No,0,La Mesa,91942,32.782501,-117.01611,Stayed
0019-GFNTW,Female,39,No,0,Los Olivos,93441,34.70434,-120.02609,Stayed
0020-INWCK,Female,58,Yes,2,Woodlake,93286,36.464635,-119.094348,Stayed
0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,Stayed
0021-IKXGC,Female,72,No,0,San Marcos,92078,33.119028,-117.166036,Joined
0022-TCJCI,Male,79,No,0,Daly City,94015,37.680844,-122.48131,Churned
0023-HGHWL,Male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,Churned
0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,Stayed
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,Churned
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,Stayed
0030-FNXPP,Female,22,No,0,Keeler,93530,36.560498,-117.962461,Joined
0031-PVLZI,Female,34,Yes,0,Korbel,95550,40.7666,-123.80458,Churned
0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,Churned
0036-IHMOT,Female,37,Yes,3,Parlier,93648,36.622237,-119.521126,Stayed
0040-HALCW,Male,42,Yes,3,Modesto,95358,37.612612,-121.108568,Stayed
0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,Stayed
0042-RLHYP,Female,47,Yes,3,Eureka,95503,40.737431,-124.108897,Stayed
0048-LUMLS,Male,23,Yes,3,Moss Beach,94038,37.515556,-122.502311,Stayed
0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,Stayed
0052-DCKON,Male,28,Yes,0,Los Angeles,90063,34.044271,-118.185237,Stayed
0052-YNYOT,Female,28,No,0,Calexico,92231,32.690654,-115.431225,Stayed
0056-EPFBG,Male,33,Yes,1,Redding,96003,40.677649,-122.29467,Stayed
0057-QBUQH,Female,31,No,3,San Martin,95046,37.084697,-121.606417,Stayed
0058-EVZWM,Female,37,Yes,0,Stockton,95209,38.044523,-121.348048,Stayed
0060-FUALY,Female,60,Yes,0,Los Angeles,90003,33.964131,-118.272783,Stayed
0064-SUDOG,Female,48,Yes,3,Huntington Park,90255,33.97803,-118.217141,Stayed
0064-YIJGF,Male,60,Yes,3,Yermo,92398,35.013299,-116.834092,Stayed
0067-DKWBL,Male,69,No,0,San Diego,92129,32.961064,-117.134917,Churned
0068-FIGTF,Female,20,No,0,Fremont,94539,37.516791,-121.899117,Stayed
0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405,38.439696,-122.668817,Stayed
0074-HDKDG,Male,46,Yes,0,San Jose,95126,37.327069,-121.916819,Stayed
0076-LVEPS,Male,57,No,1,Tujunga,91042,34.296574,-118.244839,Stayed
0078-XZMHT,Male,19,Yes,0,Visalia,93291,36.391777,-119.372842,Stayed
0080-EMYVY,Female,64,No,0,Lodi,95240,38.123544,-121.159078,Stayed
0080-OROZO,Female,38,No,0,El Portal,95318,37.654551,-119.822984,Stayed
0082-LDZUE,Male,54,No,0,Calistoga,94515,38.629618,-122.593216,Joined
0082-OQIQY,Male,50,No,0,Farmington,95230,37.956963,-120.863055,Stayed
0083-PIVIK,Male,25,No,0,Tulelake,96134,41.813521,-121.492666,Stayed
0089-IIQKO,Female,35,Yes,3,Coleville,96107,38.42528,-119.475741,Stayed
0093-EXYQL,Female,72,No,0,Ojai,93023,34.581308,-118.931948,Stayed
0093-XWZFY,Male,51,No,0,Desert Hot Springs,92241,33.832799,-116.250973,Churned
0094-OIFMO,Female,78,No,1,North Hollywood,91605,34.207295,-118.400022,Churned
0096-BXERS,Female,30,Yes,0,Inverness,94937,38.099323,-122.945723,Stayed
0096-FCPUF,Male,58,No,0,Santa Rosa,95404,38.526941,-122.709096,Stayed
0098-BOWSO,Male,26,No,0,San Jose,95131,37.387027,-121.897775,Stayed
0100-DUVFC,Male,66,Yes,0,Wilmington,90744,33.782068,-118.262263,Stayed
0103-CSITQ,Female,20,Yes,0,Modesto,95357,37.670526,-120.877572,Stayed
0104-PPXDV,Male,61,Yes,0,San Diego,92113,32.697098,-117.116587,Stayed
0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,Stayed
0106-UGRDO,Female,55,Yes,0,Kenwood,95452,38.419525,-122.521585,Stayed
0107-WESLM,Male,32,No,0,West Point,95255,38.41935,-120.469545,Churned
0107-YHINA,Male,59,No,0,Los Angeles,90062,34.003553,-118.308933,Churned
0111-KLBQG,Male,71,Yes,1,Morongo Valley,92256,34.097863,-116.594561,Stayed
0112-QAWRZ,Male,49,Yes,2,Palo Verde,92266,33.3249,-114.758334,Stayed
0112-QWPNC,Male,61,Yes,0,Valyermo,93563,34.39583,-117.734568,Churned
0114-IGABW,Female,40,Yes,0,Cambria,93428,35.591387,-121.032256,Stayed
0114-PEGZZ,Female,39,No,0,Round Mountain,96084,40.923558,-122.059933,Stayed
0114-RSRRW,Female,21,Yes,0,Klamath,95548,41.572813,-124.035011,Stayed
0115-TFERT,Male,24,Yes,0,Fresno,93650,36.841655,-119.797113,Churned
0117-LFRMW,Male,52,Yes,1,Angwin,94508,38.542448,-122.419923,Churned
0118-JPNOY,Female,71,No,0,Le Grand,95333,37.249377,-120.249581,Stayed
0121-SNYRK,Male,45,No,0,Redway,95560,40.142256,-123.852927,Stayed
0122-OAHPZ,Female,29,No,0,San Diego,92122,32.85723,-117.209774,Churned
0123-CRBRT,Female,62,Yes,0,Monterey Park,91755,34.049172,-118.115022,Stayed
0125-LZQXK,Male,42,No,0,Big Oak Flat,95305,37.818589,-120.256995,Churned
0128-MKWSG,Female,51,No,2,Stevenson Ranch,91381,34.364153,-118.615583,Stayed
0129-KPTWJ,Male,39,Yes,0,North Highlands,95660,38.671295,-121.388251,Stayed
0129-QMPDR,Male,64,Yes,0,La Puente,91746,34.038983,-117.991372,Stayed
0130-SXOUN,Male,55,No,0,Glenhaven,95443,39.045246,-122.743181,Stayed
0133-BMFZO,Female,40,No,0,Alhambra,91803,34.074736,-118.145959,Churned
0134-XWXCE,Female,76,No,0,Santa Monica,90403,34.031529,-118.491156,Stayed
0135-NMXAP,Female,57,No,0,Lodi,95240,38.123544,-121.159078,Churned
0136-IFMYD,Male,71,Yes,0,Los Angeles,90001,33.973616,-118.24902,Stayed
0137-OCGAB,Female,25,No,0,Fairfield,94533,38.287136,-122.02711,Churned
0137-UDEUO,Female,24,No,0,Stockton,95204,37.974498,-121.319568,Churned
0139-IVFJG,Female,19,Yes,0,Temecula,92592,33.507255,-117.029473,Joined
0141-YEAYS,Female,77,No,0,Fallbrook,92028,33.362575,-117.299644,Stayed
0142-GVYSN,Male,57,No,0,Randsburg,93554,35.405722,-117.773354,Stayed
0147-ESWWR,Female,73,Yes,0,Atascadero,93422,35.453912,-120.69461,Stayed
0148-DCDOS,Male,41,No,0,Planada,95365,37.329725,-120.306399,Churned
0151-ONTOV,Female,43,No,0,Moorpark,93021,34.312945,-118.858169,Churned
0156-FVPTA,Male,48,Yes,0,Solvang,93463,34.624399,-120.137875,Churned
0164-APGRB,Female,56,No,0,Calistoga,94515,38.629618,-122.593216,Stayed
0164-XAIRP,Female,51,No,0,La Mirada,90638,33.902045,-118.008961,Stayed
0168-XZKBB,Female,34,Yes,0,Boron,93516,34.95703,-117.73045,Stayed
0174-QRVVY,Male,21,Yes,2,San Marcos,92078,33.119028,-117.166036,Stayed
0177-PXBAT,Male,78,Yes,0,Desert Center,92239,33.889605,-115.257009,Stayed
0178-CIIKR,Female,60,No,0,Crows Landing,95313,37.435664,-121.049056,Joined
0178-SZBHO,Male,54,Yes,1,Tuolumne,95379,37.939768,-120.188002,Stayed
0181-RITDD,Male,42,Yes,3,San Diego,92120,32.807867,-117.060993,Stayed
0186-CAERR,Male,22,No,0,Auburn,95603,38.912881,-121.082766,Stayed
0187-QSXOE,Male,71,Yes,0,Fresno,93725,36.623632,-119.741322,Stayed
0187-WZNAB,Female,56,Yes,2,Del Rey,93616,36.657462,-119.595293,Stayed
0188-GWFLE,Male,33,No,0,Redwood City,94065,37.527497,-122.230941,Joined
0191-EQUUH,Female,32,No,3,Landers,92285,34.341737,-116.539416,Stayed
0191-ZHSKZ,Male,80,No,0,Hawthorne,90250,33.914775,-118.348083,Stayed
0193-ESZXP,Female,73,Yes,0,Oceano,93445,35.059695,-120.604741,Churned
0195-IESCP,Male,26,Yes,0,Armona,93202,36.315979,-119.710852,Churned
0196-JTUQI,Female,59,No,0,Clarksburg,95612,38.384648,-121.578701,Stayed
0196-VULGZ,Female,78,Yes,0,Irvine,92620,33.716136,-117.752574,Churned
0197-PNKNK,Female,47,Yes,1,Scotts Valley,95066,37.070177,-122.010077,Stayed
0201-MIBOL,Female,68,No,0,Salida,95368,37.713152,-121.08739,Stayed
0201-OAMXR,Female,30,No,0,Mckinleyville,95519,40.965011,-124.015255,Churned
0203-HHYIJ,Male,62,No,0,Atherton,94027,37.454924,-122.203168,Churned
0206-OYVOC,Female,52,Yes,2,Huntington Beach,92649,33.721917,-118.043237,Stayed
0206-TBWLC,Female,63,Yes,0,Calimesa,92320,33.982787,-117.057627,Stayed
0207-MDKNV,Female,54,No,0,Daly City,94014,37.691561,-122.445202,Churned
0208-BPQEJ,Female,48,Yes,1,Middletown,95461,38.787446,-122.58675,Stayed
0212-ISBBF,Female,51,No,0,Berkeley,94705,37.858898,-122.240512,Stayed
0214-JHPFW,Female,22,Yes,0,Lost Hills,93249,35.637715,-119.893068,Stayed
0215-BQKGS,Male,52,No,0,Garden Grove,92844,33.766476,-117.969795,Stayed
0218-QNVAS,Male,22,Yes,1,Indio,92203,33.752938,-116.230055,Stayed
0219-QAERP,Male,33,Yes,0,Oxnard,93033,34.156629,-119.117218,Stayed
0219-YTZUE,Male,26,Yes,0,San Diego,92122,32.85723,-117.209774,Churned
0220-EBGCE,Male,58,No,0,Escondido,92027,33.141265,-116.967221,Churned
0221-NAUXK,Male,22,No,1,Moreno Valley,92553,33.923149,-117.244933,Stayed
0221-WMXNQ,Male,66,No,0,Chino,91710,33.990646,-117.663025,Stayed
0222-CNVPT,Male,69,No,0,Sacramento,95820,38.53508,-121.444144,Stayed
0224-HJAPT,Male,25,No,0,San Diego,92117,32.825086,-117.199424,Churned
0224-NIJLP,Male,30,Yes,3,Turlock,95380,37.474396,-120.875917,Stayed
0224-RLWWD,Female,73,No,0,Calexico,92231,32.690654,-115.431225,Joined
0225-ZORZP,Male,46,No,0,Groveland,95321,37.902968,-119.667544,Joined
0228-MAUWC,Male,40,No,0,Los Gatos,95033,37.160194,-121.945611,Stayed
0229-LFJAF,Male,53,No,0,Clovis,93611,36.917652,-119.593757,Stayed
0230-UBYPQ,Male,76,Yes,0,Hyampom,96046,40.648024,-123.465088,Stayed
0230-WEQUW,Male,38,Yes,0,Woodland Hills,91364,34.153733,-118.593408,Stayed
0231-LXVAP,Male,23,No,0,Temecula,92592,33.507255,-117.029473,Churned
0233-FTHAV,Female,24,No,0,Livingston,95334,37.361987,-120.748394,Stayed
0234-TEVTT,Female,43,Yes,3,Tulare,93274,36.185471,-119.375243,Stayed
0235-KGSLC,Female,45,No,0,Buellton,93427,34.631362,-120.238218,Churned
0236-HFWSV,Male,49,No,0,Palmdale,93552,34.557711,-118.029441,Churned
0237-YFUTL,Female,62,Yes,0,Midway City,92655,33.744439,-117.98588,Stayed
0238-WHBIQ,Male,25,Yes,1,Folsom,95630,38.672638,-121.147403,Stayed
0239-OXEXL,Female,37,No,0,Oakland,94619,37.787186,-122.14633,Stayed
0244-LGNFY,Female,35,Yes,1,San Anselmo,94960,37.99272,-122.575026,Stayed
0247-SLUJI,Male,37,Yes,3,Duarte,91010,34.145695,-117.95982,Joined
0248-IPDFW,Female,19,No,0,Lake Elsinore,92530,33.655421,-117.391751,Joined
0248-PGHBZ,Female,69,No,0,San Clemente,92672,33.429488,-117.609432,Stayed
0253-ZTEOB,Female,44,Yes,1,Los Angeles,90004,34.076259,-118.310715,Stayed
0254-FNMCI,Female,19,No,0,Downey,90241,33.940884,-118.128628,Stayed
0254-KCJGT,Male,64,Yes,0,Bodega Bay,94923,38.377165,-123.037957,Stayed
0254-WWRKD,Female,44,Yes,3,Challenge,95925,39.461768,-121.195825,Stayed
0256-LTHVJ,Female,58,Yes,0,Ludlow,92338,34.702766,-116.093376,Churned
0257-KXZGU,Female,29,Yes,1,Santa Clara,95051,37.348129,-121.98469,Stayed
0257-ZESQC,Female,80,Yes,0,Perris,92571,33.828289,-117.201666,Churned
0258-NOKBL,Male,22,No,0,Fortuna,95540,40.584991,-124.121504,Joined
0259-GBZSH,Male,22,No,0,San Diego,92122,32.85723,-117.209774,Churned
0260-ZDLGK,Female,50,No,2,San Dimas,91773,34.102119,-117.815532,Churned
0263-FJTQO,Male,53,Yes,2,Rescue,95672,38.724322,-120.991237,Stayed
0264-CNITK,Female,45,Yes,2,Clio,96106,39.745805,-120.580882,Stayed
0265-EDXBD,Male,76,Yes,0,San Diego,92122,32.85723,-117.209774,Churned
0265-PSUAE,Female,57,Yes,3,Lotus,95651,38.815515,-120.916997,Stayed
0266-CLZKZ,Female,45,Yes,3,San Marcos,92078,33.119028,-117.166036,Stayed
0266-GMEAO,Male,43,Yes,1,Lompoc,93436,34.601055,-120.382917,Stayed
0268-QKIWO,Female,41,No,0,Pilot Hill,95664,38.803731,-121.043799,Churned
0269-XFESX,Male,22,Yes,3,San Francisco,94133,37.802071,-122.411004,Stayed
0270-THENM,Male,62,Yes,2,Mission Hills,91345,34.266389,-118.459744,Stayed
0274-JKUJR,Male,21,Yes,2,Los Angeles,90040,33.994524,-118.149953,Stayed
0277-BKSQP,Male,49,Yes,3,Harbor City,90710,33.798266,-118.300237,Stayed
0277-ORXQS,Male,33,Yes,4,San Francisco,94108,37.791998,-122.408653,Stayed
0278-YXOOG,Male,30,No,0,Inglewood,90301,33.956445,-118.358634,Churned
0280-XJGEX,Male,38,No,1,Los Angeles,90015,34.039224,-118.266293,Churned
0281-CNTZX,Male,56,Yes,0,Pescadero,94060,37.22565,-122.297533,Stayed
0282-NVSJS,Female,70,Yes,1,Aromas,95004,36.878364,-121.629781,Stayed
0285-INHLN,Male,54,Yes,6,Badger,93603,36.64545,-118.924982,Stayed
0289-IVARM,Female,57,No,0,Parlier,93648,36.622237,-119.521126,Stayed
0292-WEGCH,Female,40,Yes,2,Death Valley,92328,36.27688,-117.033326,Stayed
0295-PPHDO,Male,56,No,0,La Puente,91744,34.031441,-117.936436,Churned
0295-QVKPB,Male,38,No,0,Riverdale,93656,36.452211,-119.94575,Stayed
0297-RBCSG,Male,61,No,0,San Francisco,94104,37.791222,-122.402241,Stayed
0298-XACET,Male,35,Yes,2,Berry Creek,95916,39.657228,-121.37778,Stayed
0301-FIDRB,Female,61,Yes,3,Fulton,95439,38.493888,-122.777141,Stayed
0301-KOBTQ,Male,50,No,0,Capitola,95010,36.977025,-121.952864,Stayed
0302-JOIVN,Female,47,Yes,0,San Diego,92109,32.787836,-117.232376,Churned
0303-UNCIP,Male,35,No,0,Claremont,91711,34.127621,-117.717863,Stayed
0303-WMMRN,Male,32,No,0,Glendale,91207,34.182378,-118.262922,Stayed
