Customer ID,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data
0002-ORFBO,Yes,42.39,No,Yes,Cable,16,No,Yes,No,Yes,Yes,No,No,Yes
0003-MKNFE,Yes,10.69,Yes,Yes,Cable,10,No,No,No,No,No,Yes,Yes,No
0004-TLHLJ,Yes,33.65,No,Yes,Fiber Optic,30,No,No,Yes,No,No,No,No,Yes
0011-IGKFF,Yes,27.82,No,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,No,Yes
0013-EXCHZ,Yes,7.38,No,Yes,Fiber Optic,11,No,No,No,Yes,Yes,No,No,Yes
0013-MHZWF,Yes,16.77,No,Yes,Cable,73,No,No,No,Yes,Yes,Yes,Yes,Yes
0013-SMEOE,Yes,9.96,No,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0014-BMAQU,Yes,12.96,Yes,Yes,Fiber Optic,7,Yes,No,No,Yes,No,No,No,No
0015-UOCOJ,Yes,10.53,No,Yes,DSL,21,Yes,No,No,No,No,No,No,Yes
0016-QLJIS,Yes,28.46,Yes,Yes,Cable,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0017-DINOC,No,1,,Yes,Cable,10,Yes,No,No,Yes,Yes,No,No,Yes
0017-IUDMW,Yes,16.01,Yes,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0018-NYROU,Yes,18.65,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes
0019-EFAEP,Yes,2.25,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,No,Yes
0019-GFNTW,No,1,,Yes,DSL,19,Yes,Yes,Yes,Yes,No,No,No,Yes
0020-INWCK,Yes,27.26,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,Yes,Yes
0020-JDNXP,No,1,,Yes,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0021-IKXGC,Yes,7.77,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes
0022-TCJCI,Yes,10.67,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes
0023-HGHWL,No,1,,Yes,Cable,9,No,No,No,No,No,No,No,Yes
0023-UYUPN,Yes,31.43,Yes,No,,0,,,,,,,,
0023-XUOPT,Yes,43.56,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes
0027-KWYKW,Yes,34.91,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes
0030-FNXPP,Yes,3.12,No,No,,0,,,,,,,,
0031-PVLZI,Yes,12.43,No,No,,0,,,,,,,,
0032-PGELS,No,1,,Yes,DSL,19,Yes,No,No,No,No,No,No,Yes
0036-IHMOT,Yes,35.04,No,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No
